class_rank,phase,comoving_rel_x,comoving_rel_y,required_black,first_bad_count,read_events,pass_events,fail_events,pass_rate,attempts_with_class,attempts_all_pass,attempts_any_fail,attempts_mixed_pass_fail,pre_onset_events,pre_onset_pass_events,pre_onset_fail_events,entry_events,entry_pass_events,entry_fail_events,first_bad_events,unique_abs_cells,first_bad_abs_cells,pass_abs_cells,fail_abs_cells,actual_black_values,offset_mod_values,comoving_linf,raw_linf_min,raw_linf_max,top_abs_cells
11,0,-7,-2,0,20,4710,4245,465,0.9012738853503185,314,173,141,141,4560,4095,465,150,150,0,20,4125,20,3733,446,0;1,61,7,7,35,"19,66:5;3,50:4;5,52:4;7,54:4;9,56:4;11,58:4;13,60:4;15,62:4"
12,0,-2,1,1,17,314,131,183,0.4171974522292994,314,131,183,0,304,121,183,10,10,0,17,312,17,130,183,0;1,99,2,2,2,"-34,8:2;-2,47:2;24,-14:1;29,13:1;33,-12:1;24,-31:1;18,-35:1;-28,25:1"
13,0,-7,-1,0,16,4710,4174,536,0.8861995753715499,314,133,181,181,4560,4024,536,150,150,0,16,4096,16,3677,501,0;1,70,7,7,35,"19,65:5;3,49:4;5,51:4;7,53:4;9,55:4;11,57:4;13,59:4;15,61:4"
14,24,-1,2,1,16,75,43,32,0.5733333333333334,75,43,32,0,73,41,32,2,2,0,16,75,16,43,32,0;1,77,2,2,2,"-16,19:1;-36,18:1;-54,-5:1;-28,-11:1;-3,-8:1;-33,-26:1;46,-49:1;-1,44:1"
15,24,-3,3,1,14,75,41,34,0.5466666666666666,75,41,34,0,73,39,34,2,2,0,14,75,14,41,34,0;1,74,3,3,3,"-14,18:1;-35,20:1;-56,-4:1;-30,-10:1;-5,-7:1;-35,-25:1;48,-50:1;1,43:1"
16,31,-3,-3,1,13,45,29,16,0.6444444444444445,45,29,16,0,45,29,16,0,0,0,13,45,13,29,16,0;1,46,3,3,3,"-54,-1:1;0,-66:1;44,-49:1;39,20:1;41,22:1;-8,8:1;44,7:1;-56,-55:1"
17,102,-6,-3,0,13,735,641,94,0.8721088435374149,49,19,30,30,705,611,94,30,30,0,13,713,13,623,94,0;1,47,6,6,34,"4,-20:2;6,-22:2;8,-24:2;10,-26:2;12,-28:2;14,-30:2;16,-32:2;18,-34:2"
18,31,-4,-1,1,12,45,20,25,0.4444444444444444,45,20,25,0,45,20,25,0,0,0,12,45,12,20,25,0;1,67,4,4,4,"-52,0:1;-1,-64:1;42,-50:1;37,19:1;39,21:1;-7,6:1;42,6:1;-54,-54:1"
19,103,2,-4,0,11,128,117,11,0.9140625,128,117,11,0,125,114,11,3,3,0,11,128,11,117,11,0;1,44,4,4,4,"22,31:1;47,-23:1;9,46:1;13,-61:1;63,-45:1;-33,11:1;-33,-14:1;86,-8:1"
20,0,-4,-2,1,11,314,296,18,0.9426751592356688,314,296,18,0,304,286,18,10,10,0,11,312,11,294,18,0;1,44,4,4,4,"-37,10:2;0,50:2;27,-16:1;32,11:1;31,-15:1;22,-34:1;16,-38:1;-26,28:1"
21,24,-8,1,0,10,1125,1096,29,0.9742222222222222,75,62,13,13,1095,1066,29,30,30,0,10,1093,10,1064,29,0;1,47,8,8,36,"-22,-43:2;-24,-45:2;-48,76:2;-50,78:2;-52,80:2;-54,82:2;-56,84:2;-58,86:2"
22,103,0,-3,1,9,128,21,107,0.1640625,128,21,107,0,125,18,107,3,3,0,9,128,9,21,107,0;1,99,3,3,3,"21,29:1;45,-22:1;8,44:1;15,-62:1;61,-44:1;-31,10:1;-32,-12:1;84,-7:1"
23,25,-1,-6,0,9,405,392,13,0.9679012345679012,27,18,9,9,375,362,13,30,30,0,9,391,9,382,13,0;1,45,6,6,34,"51,-10:2;53,-12:2;55,-14:2;57,-16:2;59,-18:2;61,-20:2;63,-22:2;65,-24:2"
24,30,2,-4,1,9,83,49,34,0.5903614457831325,83,49,34,0,83,49,34,0,0,0,9,83,9,49,34,0;1,68,4,4,4,"19,-16:1;-19,-13:1;-11,16:1;-15,20:1;-6,48:1;-26,53:1;37,-58:1;15,3:1"
25,100,-5,-4,0,9,390,356,34,0.9128205128205128,26,12,14,14,360,326,34,30,30,0,9,376,9,342,34,0;1,49,5,5,33,"-8,65:2;-6,67:2;-4,69:2;-2,71:2;0,73:2;2,75:2;4,77:2;6,79:2"
26,30,6,-2,0,9,1328,1270,58,0.9563253012048193,83,65,18,18,1328,1270,58,0,0,0,9,1239,9,1182,58,0;1,40,6,6,36,"-33,40:3;-35,42:3;-37,44:3;-39,46:3;-41,48:3;-43,50:3;-17,24:2;-19,26:2"
27,24,-7,1,0,8,1125,1102,23,0.9795555555555555,75,62,13,13,1095,1072,23,30,30,0,8,1093,8,1070,23,0;1,46,7,7,35,"-21,-43:2;-23,-45:2;-48,75:2;-50,77:2;-52,79:2;-54,81:2;-56,83:2;-58,85:2"
28,102,-4,0,1,8,49,19,30,0.3877551020408163,49,19,30,0,47,17,30,2,2,0,8,49,8,19,30,0;1,100,4,4,4,"-4,50:1;33,23:1;33,42:1;1,-18:1;-15,-61:1;-13,28:1;46,26:1;-13,-4:1"
29,103,2,-8,0,8,1920,1747,173,0.9098958333333333,128,76,52,52,1875,1702,173,45,45,0,8,1832,8,1675,173,0;1,72,8,8,36,"-9,-35:2;-11,-33:2;-13,-31:2;-15,-29:2;-71,-82:2;-73,-84:2;-75,-86:2;39,3:2"
30,102,-4,-4,0,7,784,698,86,0.8903061224489796,49,31,18,18,752,666,86,32,32,0,7,758,7,681,86,0;1,40,4,4,34,"33,27:2;35,29:2;5,-18:2;7,-20:2;9,-22:2;11,-24:2;13,-26:2;15,-28:2"
31,24,-5,2,1,7,75,54,21,0.72,75,54,21,0,73,52,21,2,2,0,7,75,7,54,21,0;1,53,5,5,5,"-12,19:1;-36,22:1;-58,-5:1;-32,-11:1;-7,-8:1;-37,-26:1;50,-49:1;3,44:1"
32,0,-6,-4,0,6,4710,4350,360,0.9235668789808917,314,235,79,79,4560,4200,360,150,150,0,6,4136,6,3834,337,0;1,56,6,6,34,"18,68:5;2,52:4;4,54:4;6,56:4;8,58:4;10,60:4;12,62:4;14,64:4"
33,102,-5,-2,0,6,49,38,11,0.7755102040816326,49,38,11,0,47,36,11,2,2,0,6,49,6,38,11,0;1,45,5,5,5,"-3,52:1;34,25:1;31,43:1;3,-19:1;-16,-63:1;-11,27:1;45,24:1;-11,-5:1"
